alternative_medium:medium	medium:id
alternative_medium:alternative_release	alternative_release:id
alternative_medium_track:alternative_medium	alternative_medium:id
alternative_medium_track:track	track:id
alternative_medium_track:alternative_track	alternative_track:id
alternative_release:release	release:id
alternative_release:artist_credit	artist_credit:id
alternative_release:type	alternative_release_type:id
alternative_release:language	language:id
alternative_release:script	script:id
alternative_release_type:parent	alternative_release_type:id
alternative_track:artist_credit	artist_credit:id
annotation:editor	editor:id
application:owner	editor:id
area:type	area_type:id
area_alias:area	area:id
area_alias:type	area_alias_type:id
area_alias_type:parent	area_alias_type:id
area_annotation:area	area:id
area_annotation:annotation	annotation:id
area_gid_redirect:new_id	area:id
area_tag:area	area:id
area_tag:tag	tag:id
area_tag_raw:area	area:id
area_tag_raw:editor	editor:id
area_tag_raw:tag	tag:id
area_type:parent	area_type:id
artist:type	artist_type:id
artist:area	area:id
artist:gender	gender:id
artist:begin_area	area:id
artist:end_area	area:id
artist_alias:artist	artist:id
artist_alias:type	artist_alias_type:id
artist_alias_type:parent	artist_alias_type:id
artist_annotation:artist	artist:id
artist_annotation:annotation	annotation:id
artist_credit_name:artist_credit	artist_credit:id
artist_credit_name:artist	artist:id
artist_gid_redirect:new_id	artist:id
artist_ipi:artist	artist:id
artist_isni:artist	artist:id
artist_meta:id	artist:id
artist_rating_raw:artist	artist:id
artist_rating_raw:editor	editor:id
artist_tag:artist	artist:id
artist_tag:tag	tag:id
artist_tag_raw:artist	artist:id
artist_tag_raw:editor	editor:id
artist_tag_raw:tag	tag:id
artist_type:parent	artist_type:id
autoeditor_election:candidate	editor:id
autoeditor_election:proposer	editor:id
autoeditor_election:seconder_1	editor:id
autoeditor_election:seconder_2	editor:id
autoeditor_election_vote:autoeditor_election	autoeditor_election:id
autoeditor_election_vote:voter	editor:id
cdtoc_raw:release	release_raw:id
country_area:area	area:id
edit:editor	editor:id
edit:language	language:id
edit_area:edit	edit:id
edit_area:area	area:id
edit_artist:edit	edit:id
edit_artist:artist	artist:id
edit_data:edit	edit:id
edit_event:edit	edit:id
edit_event:event	event:id
edit_instrument:edit	edit:id
edit_instrument:instrument	instrument:id
edit_label:edit	edit:id
edit_label:label	label:id
edit_note:editor	editor:id
edit_note:edit	edit:id
edit_note_recipient:recipient	editor:id
edit_note_recipient:edit_note	edit_note:id
edit_place:edit	edit:id
edit_place:place	place:id
edit_recording:edit	edit:id
edit_recording:recording	recording:id
edit_release:edit	edit:id
edit_release:release	release:id
edit_release_group:edit	edit:id
edit_release_group:release_group	release_group:id
edit_series:edit	edit:id
edit_series:series	series:id
edit_url:edit	edit:id
edit_url:url	url:id
edit_work:edit	edit:id
edit_work:work	work:id
editor:gender	gender:id
editor:area	area:id
editor_collection:editor	editor:id
editor_collection:type	editor_collection_type:id
editor_collection_area:collection	editor_collection:id
editor_collection_area:area	area:id
editor_collection_artist:collection	editor_collection:id
editor_collection_artist:artist	artist:id
editor_collection_deleted_entity:collection	editor_collection:id
editor_collection_deleted_entity:gid	deleted_entity:gid
editor_collection_event:collection	editor_collection:id
editor_collection_event:event	event:id
editor_collection_instrument:collection	editor_collection:id
editor_collection_instrument:instrument	instrument:id
editor_collection_label:collection	editor_collection:id
editor_collection_label:label	label:id
editor_collection_place:collection	editor_collection:id
editor_collection_place:place	place:id
editor_collection_recording:collection	editor_collection:id
editor_collection_recording:recording	recording:id
editor_collection_release:collection	editor_collection:id
editor_collection_release:release	release:id
editor_collection_release_group:collection	editor_collection:id
editor_collection_release_group:release_group	release_group:id
editor_collection_series:collection	editor_collection:id
editor_collection_series:series	series:id
editor_collection_type:parent	editor_collection_type:id
editor_collection_work:collection	editor_collection:id
editor_collection_work:work	work:id
editor_language:editor	editor:id
editor_language:language	language:id
editor_oauth_token:editor	editor:id
editor_oauth_token:application	application:id
editor_preference:editor	editor:id
editor_subscribe_artist:editor	editor:id
editor_subscribe_artist:artist	artist:id
editor_subscribe_artist:last_edit_sent	edit:id
editor_subscribe_artist_deleted:editor	editor:id
editor_subscribe_artist_deleted:gid	deleted_entity:gid
editor_subscribe_artist_deleted:deleted_by	edit:id
editor_subscribe_collection:editor	editor:id
editor_subscribe_editor:editor	editor:id
editor_subscribe_editor:subscribed_editor	editor:id
editor_subscribe_label:editor	editor:id
editor_subscribe_label:label	label:id
editor_subscribe_label:last_edit_sent	edit:id
editor_subscribe_label_deleted:editor	editor:id
editor_subscribe_label_deleted:gid	deleted_entity:gid
editor_subscribe_label_deleted:deleted_by	edit:id
editor_subscribe_series:editor	editor:id
editor_subscribe_series:series	series:id
editor_subscribe_series:last_edit_sent	edit:id
editor_subscribe_series_deleted:editor	editor:id
editor_subscribe_series_deleted:gid	deleted_entity:gid
editor_subscribe_series_deleted:deleted_by	edit:id
editor_watch_artist:artist	artist:id
editor_watch_artist:editor	editor:id
editor_watch_preferences:editor	editor:id
editor_watch_release_group_type:editor	editor:id
editor_watch_release_group_type:release_group_type	release_group_primary_type:id
editor_watch_release_status:editor	editor:id
editor_watch_release_status:release_status	release_status:id
event:type	event_type:id
event_alias:event	event:id
event_alias:type	event_alias_type:id
event_alias_type:parent	event_alias_type:id
event_annotation:event	event:id
event_annotation:annotation	annotation:id
event_gid_redirect:new_id	event:id
event_meta:id	event:id
event_rating_raw:event	event:id
event_rating_raw:editor	editor:id
event_tag:event	event:id
event_tag:tag	tag:id
event_tag_raw:event	event:id
event_tag_raw:editor	editor:id
event_tag_raw:tag	tag:id
event_type:parent	event_type:id
gender:parent	gender:id
instrument:type	instrument_type:id
instrument_alias:instrument	instrument:id
instrument_alias:type	instrument_alias_type:id
instrument_alias_type:parent	instrument_alias_type:id
instrument_annotation:instrument	instrument:id
instrument_annotation:annotation	annotation:id
instrument_gid_redirect:new_id	instrument:id
instrument_tag:instrument	instrument:id
instrument_tag:tag	tag:id
instrument_tag_raw:instrument	instrument:id
instrument_tag_raw:editor	editor:id
instrument_tag_raw:tag	tag:id
instrument_type:parent	instrument_type:id
iso_3166_1:area	area:id
iso_3166_2:area	area:id
iso_3166_3:area	area:id
isrc:recording	recording:id
iswc:work	work:id
l_area_area:link	link:id
l_area_area:entity0	area:id
l_area_area:entity1	area:id
l_area_artist:link	link:id
l_area_artist:entity0	area:id
l_area_artist:entity1	artist:id
l_area_event:link	link:id
l_area_event:entity0	area:id
l_area_event:entity1	event:id
l_area_instrument:link	link:id
l_area_instrument:entity0	area:id
l_area_instrument:entity1	instrument:id
l_area_label:link	link:id
l_area_label:entity0	area:id
l_area_label:entity1	label:id
l_area_place:link	link:id
l_area_place:entity0	area:id
l_area_place:entity1	place:id
l_area_recording:link	link:id
l_area_recording:entity0	area:id
l_area_recording:entity1	recording:id
l_area_release:link	link:id
l_area_release:entity0	area:id
l_area_release:entity1	release:id
l_area_release_group:link	link:id
l_area_release_group:entity0	area:id
l_area_release_group:entity1	release_group:id
l_area_series:link	link:id
l_area_series:entity0	area:id
l_area_series:entity1	series:id
l_area_url:link	link:id
l_area_url:entity0	area:id
l_area_url:entity1	url:id
l_area_work:link	link:id
l_area_work:entity0	area:id
l_area_work:entity1	work:id
l_artist_artist:link	link:id
l_artist_artist:entity0	artist:id
l_artist_artist:entity1	artist:id
l_artist_event:link	link:id
l_artist_event:entity0	artist:id
l_artist_event:entity1	event:id
l_artist_instrument:link	link:id
l_artist_instrument:entity0	artist:id
l_artist_instrument:entity1	instrument:id
l_artist_label:link	link:id
l_artist_label:entity0	artist:id
l_artist_label:entity1	label:id
l_artist_place:link	link:id
l_artist_place:entity0	artist:id
l_artist_place:entity1	place:id
l_artist_recording:link	link:id
l_artist_recording:entity0	artist:id
l_artist_recording:entity1	recording:id
l_artist_release:link	link:id
l_artist_release:entity0	artist:id
